,Part,Value,Position (inch),Orientation,Part Number,Cost
Main Board,,,,,,
,BAT1,BATTCON_12MM,(0.225 1.045),R90,3000K-ND,$0.76
,C1,0805 12pF,(1.095 0.62),R0,478-1305-1-ND,$0.15
,C2,0805 12pF,(1.095 0.555),R0,478-1305-1-ND,$0.15
,C3,0805 10uF,(0.715 1.34),R0,311-1355-1-ND,$0.11
,C4,0805 10uF,(1.025 0.84),R90,311-1355-1-ND,$0.11
,C5,68uF,(0.465 0.69),R270,493-4125-1-ND,$0.68
,C6,0805 10uF,(0.49 0.875),R225,311-1355-1-ND,$0.11
,D1,SCHOTTKY 30V 1A,(0.65 0.505),R0,DFLS130LDICT-ND,$0.49
,IC1,ATTINY-84-SSU,(0.71 1.12),R270,ATTINY84A-SSURCT-ND,$1.33
,IC2,RTC MCP79400,(0.985 0.625),MR0,MCP79400-I/SN-ND,$1.14
,IC3,TLC5925,(0.565 0.68),MR0,296-24465-1-ND,$1.60
,IC4,TLC5925,(0.565 1.18),MR0,296-24465-1-ND,$1.60
,IC7,DC/DC Boost Controller,(0.135 0.675),MR0,NCP1400ASN50T1GOSCT-ND,$0.82
,JP1,2X06 Female,(0.565 1.535),R0,SSW-106-01-T-D,
,JP5,1x03 Female,(0.465 0.18),R0,DFLS130LDICT-ND,$0.49
,JP6,2X06 Female,(0.565 0.33),R0,SSW-106-01-T-D,
,L1,27UH,(0.715 0.7),R90,SDR0703-270KLCT-ND,$0.55
,LEDSTATUS,0805 LED Red,(1.115 1.39),R270,,
,Q1,32.768khz,(1.015 0.31),MR270,535-9166-1-ND,$0.71
,R1,TRIMMER 3K,(1.12 1.545),R0,490-2038-1-ND,$0.49
,R2,TRIMMER 3K,(0.985 1.545),R0,490-2038-1-ND,$0.49
,RPULLUP1,0805 4.7K Ohm,(0.96 1.055),R90,RMCF0805JT4K70CT-ND,$0.02
,RPULLUP2,0805 4.7K Ohm,(0.96 1.185),R270,RMCF0805JT4K70CT-ND,$0.02
,RPULLUP3,0805 4.7K Ohm,(0.36 0.175),R180,RMCF0805JT4K70CT-ND,$0.02
,RPULLUP4,0805 4.7K Ohm,(0.8 0.185),R180,RMCF0805JT4K70CT-ND,$0.02
,RSTATUS,470 Ohm,(0.985 1.39),R0,RMCF0805JT470RCT-ND,$0.03
,S1,SWITCH-MOMENTARY,(0.14 0.32),R90,CKN9119CT-ND,$0.58
,S2,SWITCH-MOMENTARY,(0.99 0.34),R90,CKN9119CT-ND,$0.58
,S3,SPST-NO,(0.07 0.94),MR270,563-1102-1-ND,$0.72
,X1,USB-MICROB,(0.065 1.335),MR90,455-2563-1-ND,$1.07
,,,,,,$14.84
Face,,,,,,
,JP1,1X03 male,(0.38 0.075),R0,TLW-103-06-T-S,
,JP2,2X06 male,(0.48 0.225),R0,TLW-106-06-T-D,
,JP3,2X06 male,(0.48 1.435),R0,TLW-106-06-T-D,
,LEDHOUR1,0805 LED Green,(0.565 0.985),R330,754-1094-1-ND,$0.14
,LEDHOUR2,0805 LED Green,(0.63 0.92),R300,754-1094-1-ND,$0.14
,LEDHOUR3,0805 LED Green,(0.65 0.835),R270,754-1094-1-ND,$0.14
,LEDHOUR4,0805 LED Green,(0.63 0.75),R240,754-1094-1-ND,$0.14
,LEDHOUR5,0805 LED Green,(0.565 0.685),R210,754-1094-1-ND,$0.14
,LEDHOUR6,0805 LED Green,(0.48 0.665),R180,754-1094-1-ND,$0.14
,LEDHOUR7,0805 LED Green,(0.395 0.685),R150,754-1094-1-ND,$0.14
,LEDHOUR8,0805 LED Green,(0.33 0.75),R120,754-1094-1-ND,$0.14
,LEDHOUR9,0805 LED Green,(0.31 0.835),R90,754-1094-1-ND,$0.14
,LEDHOUR10,0805 LED Green,(0.33 0.92),R60,754-1094-1-ND,$0.14
,LEDHOUR11,0805 LED Green,(0.395 0.985),R30,754-1094-1-ND,$0.14
,LEDHOUR12,0805 LED Green,(0.48 1.005),R0,754-1094-1-ND,$0.14
,LEDMIN5,0805 LED Blue,(0.65 1.13),R330,754-1505-1-ND,$0.25
,LEDMIN10,0805 LED Blue,(0.78 1.005),R300,754-1505-1-ND,$0.25
,LEDMIN15,0805 LED Blue,(0.825 0.83),R270,754-1505-1-ND,$0.25
,LEDMIN20,0805 LED Blue,(0.78 0.66),R240,754-1505-1-ND,$0.25
,LEDMIN25,0805 LED Blue,(0.655 0.53),R210,754-1505-1-ND,$0.25
,LEDMIN30,0805 LED Blue,(0.48 0.485),R180,754-1505-1-ND,$0.25
,LEDMIN35,0805 LED Blue,(0.305 0.53),R150,754-1505-1-ND,$0.25
,LEDMIN40,0805 LED Blue,(0.175 0.665),R120,754-1505-1-ND,$0.25
,LEDMIN45,0805 LED Blue,(0.135 0.83),R90,754-1505-1-ND,$0.25
,LEDMIN50,0805 LED Blue,(0.18 1.005),R60,754-1505-1-ND,$0.25
,LEDMIN55,0805 LED Blue,(0.31 1.13),R30,754-1505-1-ND,$0.25
,LEDMIN60,0805 LED Blue,(0.48 1.175),R0,754-1505-1-ND,$0.25
,LEDSEC1,0805 LED Red,(0.46 0.855),R315,,
,RSEC     ,0805  470 Ohm,(0.48 0.84),MR90,RMCF0805JT470RCT-ND,$0.03
,,,,,,$4.70
Battery,,,,,,
All parts in this,C7,0805 10uF,(0.915 0.175),R180,311-1355-1-ND,$0.11
section are placed,C8,0805 10uF,(0.715 0.175),R0,311-1355-1-ND,$0.11
twice (two modules,CHARGE,0805 LED Orange,(0.52 0.275),R270,754-1096-1-ND,$0.21
for each piece),D2,SCHOTTKY 30V 1A,(0.915 0.275),R180,DFLS130LDICT-ND,$0.49
,G1,RCR123A,(0.815 0.69),R0,BH123A-ND,$0.96
,PROGCHARGE,0805 4.7K Ohm,(0.715 0.275),R180,DFLS130LDICT-ND,$0.49
,RCHARGE,0805 1170 Ohm,(0.52 0.175),R0,311-1.18KCRCT-ND,$0.10
,U1,MCP73831,(0.815 0.69),MR180,MCP73831T-2ACI/OTCT-ND,$0.68
,,,,,,$3.15
,,,,,,
,,,,,,
,,,,,,$22.69
